parameter,family,method,sample_size,mean_coverage,min_coverage,max_coverage,target_coverage,coverage_diff
alpha,bkw,nlminb,100,0.900587084148728,0.900587084148728,0.900587084148728,0.95,-0.049412915851271944
alpha,bkw,nlminb,250,0.9413601665510063,0.9413601665510063,0.9413601665510063,0.95,-0.008639833448993661
alpha,bkw,nlminb,500,0.9762569832402235,0.9762569832402235,0.9762569832402235,0.95,0.02625698324022352
alpha,bkw,nlminb,1000,0.9725061684878392,0.9725061684878392,0.9725061684878392,0.95,0.022506168487839262
alpha,bkw,nlminb,5000,0.9608958407394241,0.9608958407394241,0.9608958407394241,0.95,0.010895840739424179
alpha,bkw,nr,100,0.9857539958304378,0.9857539958304378,0.9857539958304378,0.95,0.03575399583043781
alpha,bkw,nr,250,0.9969595621769535,0.9969595621769535,0.9969595621769535,0.95,0.04695956217695352
alpha,bkw,nr,500,0.9874161073825504,0.9874161073825504,0.9874161073825504,0.95,0.03741610738255041
alpha,bkw,nr,1000,0.9778739778739779,0.9778739778739779,0.9778739778739779,0.95,0.02787397787397794
alpha,bkw,nr,5000,0.9908424908424909,0.9908424908424909,0.9908424908424909,0.95,0.04084249084249092
alpha,bkw,optim,100,0.9206865936667653,0.9206865936667653,0.9206865936667653,0.95,-0.02931340633323465
alpha,bkw,optim,250,0.9550359712230216,0.9550359712230216,0.9550359712230216,0.95,0.005035971223021685
alpha,bkw,optim,500,0.9851744186046512,0.9851744186046512,0.9851744186046512,0.95,0.0351744186046512
alpha,bkw,optim,1000,0.9802073515551366,0.9802073515551366,0.9802073515551366,0.95,0.030207351555136652
alpha,bkw,optim,5000,0.9711119905025722,0.9711119905025722,0.9711119905025722,0.95,0.021111990502572286
alpha,bkw,tmb,100,0.9382427843803056,0.9382427843803056,0.9382427843803056,0.95,-0.011757215619694339
alpha,bkw,tmb,250,0.9695159629248198,0.9695159629248198,0.9695159629248198,0.95,0.01951596292481983
alpha,bkw,tmb,500,0.9725218807246082,0.9725218807246082,0.9725218807246082,0.95,0.022521880724608256
alpha,bkw,tmb,1000,0.9609864564382454,0.9609864564382454,0.9609864564382454,0.95,0.010986456438245473
alpha,bkw,tmb,5000,0.9641201370691392,0.9641201370691392,0.9641201370691392,0.95,0.014120137069139282
alpha,ekw,nlminb,100,0.938146551724138,0.938146551724138,0.938146551724138,0.95,-0.011853448275861989
alpha,ekw,nlminb,250,0.9247441300421433,0.9247441300421433,0.9247441300421433,0.95,-0.02525586995785667
alpha,ekw,nlminb,500,0.9432,0.9432,0.9432,0.95,-0.006799999999999917
alpha,ekw,nlminb,1000,0.9454,0.9454,0.9454,0.95,-0.0045999999999999375
alpha,ekw,nlminb,5000,0.9498,0.9498,0.9498,0.95,-1.9999999999997797e-4
alpha,ekw,nr,100,0.9594395280235988,0.9594395280235988,0.9594395280235988,0.95,0.00943952802359882
alpha,ekw,nr,250,0.9220146222583265,0.9220146222583265,0.9220146222583265,0.95,-0.027985377741673423
alpha,ekw,nr,500,0.906769355492501,0.906769355492501,0.906769355492501,0.95,-0.043230644507498917
alpha,ekw,nr,1000,0.9567307692307693,0.9567307692307693,0.9567307692307693,0.95,0.006730769230769318
alpha,ekw,nr,5000,0.9162,0.9162,0.9162,0.95,-0.03379999999999994
alpha,ekw,optim,100,0.9317747077577045,0.9317747077577045,0.9317747077577045,0.95,-0.01822529224229541
alpha,ekw,optim,250,0.9316907051282052,0.9316907051282052,0.9316907051282052,0.95,-0.01830929487179478
alpha,ekw,optim,500,0.938,0.938,0.938,0.95,-0.01200000000000001
alpha,ekw,optim,1000,0.9394,0.9394,0.9394,0.95,-0.010599999999999943
alpha,ekw,optim,5000,0.9518,0.9518,0.9518,0.95,0.0018000000000000238
alpha,ekw,tmb,100,0.933115823817292,0.933115823817292,0.933115823817292,0.95,-0.01688417618270799
alpha,ekw,tmb,250,0.9361830222757375,0.9361830222757375,0.9361830222757375,0.95,-0.013816977724262491
alpha,ekw,tmb,500,0.9462,0.9462,0.9462,0.95,-0.0037999999999999146
alpha,ekw,tmb,1000,0.9478,0.9478,0.9478,0.95,-0.0021999999999999797
alpha,ekw,tmb,5000,0.9544,0.9544,0.9544,0.95,0.0044000000000000705
alpha,gkw,nlminb,100,NA,Inf,-Inf,0.95,NA
alpha,gkw,nlminb,250,0.9828785446762975,0.9828785446762975,0.9828785446762975,0.95,0.03287854467629758
alpha,gkw,nlminb,500,0.9898063200815495,0.9898063200815495,0.9898063200815495,0.95,0.039806320081549496
alpha,gkw,nlminb,1000,0.9916379734382685,0.9916379734382685,0.9916379734382685,0.95,0.04163797343826858
alpha,gkw,nlminb,5000,0.9922667955534075,0.9922667955534075,0.9922667955534075,0.95,0.04226679555340751
alpha,gkw,nr,100,0.9919964428634949,0.9919964428634949,0.9919964428634949,0.95,0.04199644286349491
alpha,gkw,nr,250,0.97109375,0.97109375,0.97109375,0.95,0.021093750000000022
alpha,gkw,nr,500,0.9986896702336755,0.9986896702336755,0.9986896702336755,0.95,0.04868967023367554
alpha,gkw,nr,1000,0.9970687711386697,0.9970687711386697,0.9970687711386697,0.95,0.047068771138669696
alpha,gkw,nr,5000,0.9747245625405055,0.9747245625405055,0.9747245625405055,0.95,0.02472456254050559
alpha,gkw,optim,100,0.972,0.972,0.972,0.95,0.02200000000000002
alpha,gkw,optim,250,0.978149829738933,0.978149829738933,0.978149829738933,0.95,0.028149829738933096
alpha,gkw,optim,500,0.9513179128563743,0.9513179128563743,0.9513179128563743,0.95,0.0013179128563743925
alpha,gkw,optim,1000,0.988,0.988,0.988,0.95,0.038000000000000034
alpha,gkw,optim,5000,0.9792651873408512,0.9792651873408512,0.9792651873408512,0.95,0.029265187340851262
alpha,gkw,tmb,100,0.9803205518360723,0.9803205518360723,0.9803205518360723,0.95,0.030320551836072296
alpha,gkw,tmb,250,0.9964255677039529,0.9964255677039529,0.9964255677039529,0.95,0.0464255677039529
alpha,gkw,tmb,500,0.9954417191230736,0.9954417191230736,0.9954417191230736,0.95,0.0454417191230736
alpha,gkw,tmb,1000,0.9924944812362031,0.9924944812362031,0.9924944812362031,0.95,0.04249448123620314
alpha,gkw,tmb,5000,0.9862258953168044,0.9862258953168044,0.9862258953168044,0.95,0.036225895316804424
alpha,kkw,nlminb,100,NA,Inf,-Inf,0.95,NA
alpha,kkw,nlminb,250,NA,Inf,-Inf,0.95,NA
alpha,kkw,nlminb,500,0.9937264742785445,0.9937264742785445,0.9937264742785445,0.95,0.04372647427854459
alpha,kkw,nlminb,1000,0.9871866295264624,0.9871866295264624,0.9871866295264624,0.95,0.037186629526462456
alpha,kkw,nlminb,5000,0.9982094897045658,0.9982094897045658,0.9982094897045658,0.95,0.048209489704565844
alpha,kkw,nr,100,0.9945477870429763,0.9945477870429763,0.9945477870429763,0.95,0.04454778704297635
alpha,kkw,nr,250,0.9962880475129918,0.9962880475129918,0.9962880475129918,0.95,0.04628804751299187
alpha,kkw,nr,500,0.9919242550821499,0.9919242550821499,0.9919242550821499,0.95,0.04192425508214992
alpha,kkw,nr,1000,0.9969629479651752,0.9969629479651752,0.9969629479651752,0.95,0.046962947965175195
alpha,kkw,nr,5000,0.9826866916979557,0.9826866916979557,0.9826866916979557,0.95,0.032686691697955794
alpha,kkw,optim,100,0.9862241703193487,0.9862241703193487,0.9862241703193487,0.95,0.03622417031934877
alpha,kkw,optim,250,0.9943408788282291,0.9943408788282291,0.9943408788282291,0.95,0.044340878828229124
alpha,kkw,optim,500,0.9490274983232729,0.9490274983232729,0.9490274983232729,0.95,-9.725016767270223e-4
alpha,kkw,optim,1000,0.9791598827743406,0.9791598827743406,0.9791598827743406,0.95,0.029159882774340673
alpha,kkw,optim,5000,0.9950877192982456,0.9950877192982456,0.9950877192982456,0.95,0.04508771929824562
alpha,kkw,tmb,100,0.9860906217070601,0.9860906217070601,0.9860906217070601,0.95,0.03609062170706012
alpha,kkw,tmb,250,0.9987682200780127,0.9987682200780127,0.9987682200780127,0.95,0.048768220078012736
alpha,kkw,tmb,500,0.9985740476675494,0.9985740476675494,0.9985740476675494,0.95,0.04857404766754947
alpha,kkw,tmb,1000,0.9969641772920461,0.9969641772920461,0.9969641772920461,0.95,0.04696417729204616
alpha,kkw,tmb,5000,0.9878493317132442,0.9878493317132442,0.9878493317132442,0.95,0.03784933171324423
alpha,kw,nlminb,100,0.9532,0.9532,0.9532,0.95,0.0032000000000000917
alpha,kw,nlminb,250,0.9506,0.9506,0.9506,0.95,6.000000000000449e-4
alpha,kw,nlminb,500,0.9548,0.9548,0.9548,0.95,0.0048000000000000265
alpha,kw,nlminb,1000,0.9516,0.9516,0.9516,0.95,0.0016000000000000458
alpha,kw,nlminb,5000,0.9492,0.9492,0.9492,0.95,-7.999999999999119e-4
alpha,kw,nr,100,0.9546,0.9546,0.9546,0.95,0.0046000000000000485
alpha,kw,nr,250,0.9564,0.9564,0.9564,0.95,0.006400000000000072
alpha,kw,nr,500,0.9576,0.9576,0.9576,0.95,0.007600000000000051
alpha,kw,nr,1000,0.9542,0.9542,0.9542,0.95,0.0042000000000000925
alpha,kw,nr,5000,0.903,0.903,0.903,0.95,-0.04699999999999993
alpha,kw,optim,100,0.9486,0.9486,0.9486,0.95,-0.0013999999999999568
alpha,kw,optim,250,0.9438,0.9438,0.9438,0.95,-0.006199999999999983
alpha,kw,optim,500,0.951,0.951,0.951,0.95,0.0010000000000000009
alpha,kw,optim,1000,0.9518,0.9518,0.9518,0.95,0.0018000000000000238
alpha,kw,optim,5000,0.95,0.95,0.95,0.95,0
alpha,kw,tmb,100,0.9498,0.9498,0.9498,0.95,-1.9999999999997797e-4
alpha,kw,tmb,250,0.9492,0.9492,0.9492,0.95,-7.999999999999119e-4
alpha,kw,tmb,500,0.9498,0.9498,0.9498,0.95,-1.9999999999997797e-4
alpha,kw,tmb,1000,0.9524,0.9524,0.9524,0.95,0.0024000000000000687
alpha,kw,tmb,5000,0.9496,0.9496,0.9496,0.95,-3.9999999999995595e-4
beta,bkw,nlminb,100,0.924853228962818,0.924853228962818,0.924853228962818,0.95,-0.025146771037181992
beta,bkw,nlminb,250,0.8736988202637057,0.8736988202637057,0.8736988202637057,0.95,-0.07630117973629424
beta,bkw,nlminb,500,0.8421787709497207,0.8421787709497207,0.8421787709497207,0.95,-0.10782122905027924
beta,bkw,nlminb,1000,0.8392668311596757,0.8392668311596757,0.8392668311596757,0.95,-0.11073316884032425
beta,bkw,nlminb,5000,0.8048346960540349,0.8048346960540349,0.8048346960540349,0.95,-0.14516530394596505
beta,bkw,nr,100,0.9937456567060459,0.9937456567060459,0.9937456567060459,0.95,0.04374565670604591
beta,bkw,nr,250,0.998175737306172,0.998175737306172,0.998175737306172,0.95,0.048175737306172084
beta,bkw,nr,500,0.9876258389261745,0.9876258389261745,0.9876258389261745,0.95,0.03762583892617455
beta,bkw,nr,1000,0.993987493987494,0.993987493987494,0.993987493987494,0.95,0.04398749398749402
beta,bkw,nr,5000,0.9951159951159951,0.9951159951159951,0.9951159951159951,0.95,0.04511599511599518
beta,bkw,optim,100,0.9825392127848476,0.9825392127848476,0.9825392127848476,0.95,0.032539212784847615
beta,bkw,optim,250,0.9838129496402878,0.9838129496402878,0.9838129496402878,0.95,0.033812949640287804
beta,bkw,optim,500,0.9947674418604651,0.9947674418604651,0.9947674418604651,0.95,0.04476744186046511
beta,bkw,optim,1000,0.9984291548853284,0.9984291548853284,0.9984291548853284,0.95,0.048429154885328396
beta,bkw,optim,5000,1,1,1,0.95,0.050000000000000044
beta,bkw,tmb,100,1,1,1,0.95,0.050000000000000044
beta,bkw,tmb,250,1,1,1,0.95,0.050000000000000044
beta,bkw,tmb,500,1,1,1,0.95,0.050000000000000044
beta,bkw,tmb,1000,1,1,1,0.95,0.050000000000000044
beta,bkw,tmb,5000,1,1,1,0.95,0.050000000000000044
beta,ekw,nlminb,100,0.9493534482758621,0.9493534482758621,0.9493534482758621,0.95,-6.46551724137856e-4
beta,ekw,nlminb,250,0.938591210114389,0.938591210114389,0.938591210114389,0.95,-0.011408789885611004
beta,ekw,nlminb,500,0.9452,0.9452,0.9452,0.95,-0.0047999999999999154
beta,ekw,nlminb,1000,0.9498,0.9498,0.9498,0.95,-1.9999999999997797e-4
beta,ekw,nlminb,5000,0.9484,0.9484,0.9484,0.95,-0.0015999999999999348
beta,ekw,nr,100,0.9609144542772862,0.9609144542772862,0.9609144542772862,0.95,0.010914454277286212
beta,ekw,nr,250,0.9236393176279447,0.9236393176279447,0.9236393176279447,0.95,-0.026360682372055244
beta,ekw,nr,500,0.918321848398865,0.918321848398865,0.918321848398865,0.95,-0.03167815160113496
beta,ekw,nr,1000,0.9489182692307693,0.9489182692307693,0.9489182692307693,0.95,-0.0010817307692306821
beta,ekw,nr,5000,0.9432,0.9432,0.9432,0.95,-0.006799999999999917
beta,ekw,optim,100,0.946865037194474,0.946865037194474,0.946865037194474,0.95,-0.0031349628055259426
beta,ekw,optim,250,0.9411057692307693,0.9411057692307693,0.9411057692307693,0.95,-0.008894230769230682
beta,ekw,optim,500,0.9484,0.9484,0.9484,0.95,-0.0015999999999999348
beta,ekw,optim,1000,0.9468,0.9468,0.9468,0.95,-0.0031999999999999806
beta,ekw,optim,5000,0.9524,0.9524,0.9524,0.95,0.0024000000000000687
beta,ekw,tmb,100,0.9422920065252854,0.9422920065252854,0.9422920065252854,0.95,-0.007707993474714514
beta,ekw,tmb,250,0.943808950431467,0.943808950431467,0.943808950431467,0.95,-0.0061910495685330025
beta,ekw,tmb,500,0.9506,0.9506,0.9506,0.95,6.000000000000449e-4
beta,ekw,tmb,1000,0.9532,0.9532,0.9532,0.95,0.0032000000000000917
beta,ekw,tmb,5000,0.9546,0.9546,0.9546,0.95,0.0046000000000000485
beta,gkw,nlminb,100,NA,Inf,-Inf,0.95,NA
beta,gkw,nlminb,250,0.994649545211343,0.994649545211343,0.994649545211343,0.95,0.04464954521134301
beta,gkw,nlminb,500,0.9918450560652395,0.9918450560652395,0.9918450560652395,0.95,0.04184505606523958
beta,gkw,nlminb,1000,0.9906542056074766,0.9906542056074766,0.9906542056074766,0.95,0.04065420560747668
beta,gkw,nlminb,5000,0.9908168197196714,0.9908168197196714,0.9908168197196714,0.95,0.04081681971967144
beta,gkw,nr,100,0.9977767896843042,0.9977767896843042,0.9977767896843042,0.95,0.04777678968430421
beta,gkw,nr,250,0.9963541666666667,0.9963541666666667,0.9963541666666667,0.95,0.046354166666666696
beta,gkw,nr,500,0.9995632234112252,0.9995632234112252,0.9995632234112252,0.95,0.04956322341122521
beta,gkw,nr,1000,0.9970687711386697,0.9970687711386697,0.9970687711386697,0.95,0.047068771138669696
beta,gkw,nr,5000,0.9640311082307194,0.9640311082307194,0.9640311082307194,0.95,0.014031108230719402
beta,gkw,optim,100,0.9948571428571429,0.9948571428571429,0.9948571428571429,0.95,0.04485714285714293
beta,gkw,optim,250,0.9977298524404086,0.9977298524404086,0.9977298524404086,0.95,0.047729852440408616
beta,gkw,optim,500,0.9862829478214094,0.9862829478214094,0.9862829478214094,0.95,0.036282947821409395
beta,gkw,optim,1000,0.9926666666666667,0.9926666666666667,0.9926666666666667,0.95,0.04266666666666674
beta,gkw,optim,5000,0.9854492542742815,0.9854492542742815,0.9854492542742815,0.95,0.03544925427428158
beta,gkw,tmb,100,0.9995942381821871,0.9995942381821871,0.9995942381821871,0.95,0.04959423818218711
beta,gkw,tmb,250,1,1,1,0.95,0.050000000000000044
beta,gkw,tmb,500,1,1,1,0.95,0.050000000000000044
beta,gkw,tmb,1000,1,1,1,0.95,0.050000000000000044
beta,gkw,tmb,5000,0.9983047255774529,0.9983047255774529,0.9983047255774529,0.95,0.04830472557745291
beta,kkw,nlminb,100,NA,Inf,-Inf,0.95,NA
beta,kkw,nlminb,250,NA,Inf,-Inf,0.95,NA
beta,kkw,nlminb,500,0.9893350062735258,0.9893350062735258,0.9893350062735258,0.95,0.03933500627352582
beta,kkw,nlminb,1000,0.9877437325905293,0.9877437325905293,0.9877437325905293,0.95,0.03774373259052932
beta,kkw,nlminb,5000,0.9982094897045658,0.9982094897045658,0.9982094897045658,0.95,0.048209489704565844
beta,kkw,nr,100,0.99903784477229,0.99903784477229,0.99903784477229,0.95,0.04903784477229001
beta,kkw,nr,250,0.9992576095025983,0.9992576095025983,0.9992576095025983,0.95,0.04925760950259839
beta,kkw,nr,500,0.9919242550821499,0.9919242550821499,0.9919242550821499,0.95,0.04192425508214992
beta,kkw,nr,1000,0.9977728285077951,0.9977728285077951,0.9977728285077951,0.95,0.047772828507795184
beta,kkw,nr,5000,0.9720483938256154,0.9720483938256154,0.9720483938256154,0.95,0.02204839382561541
beta,kkw,optim,100,0.9881026925485284,0.9881026925485284,0.9881026925485284,0.95,0.038102692548528494
beta,kkw,optim,250,0.9936750998668442,0.9936750998668442,0.9936750998668442,0.95,0.04367509986684426
beta,kkw,optim,500,0.8836351441985245,0.8836351441985245,0.8836351441985245,0.95,-0.06636485580147544
beta,kkw,optim,1000,0.9550634972321719,0.9550634972321719,0.9550634972321719,0.95,0.005063497232171921
beta,kkw,optim,5000,0.9554385964912281,0.9554385964912281,0.9554385964912281,0.95,0.0054385964912281315
beta,kkw,tmb,100,0.9903055848261327,0.9903055848261327,0.9903055848261327,0.95,0.04030558482613278
beta,kkw,tmb,250,0.9967152535413673,0.9967152535413673,0.9967152535413673,0.95,0.046715253541367296
beta,kkw,tmb,500,0.9991851700957425,0.9991851700957425,0.9991851700957425,0.95,0.049185170095742525
beta,kkw,tmb,1000,1,1,1,0.95,0.050000000000000044
beta,kkw,tmb,5000,0.9639530174159578,0.9639530174159578,0.9639530174159578,0.95,0.013953017415957891
beta,kw,nlminb,100,0.9546,0.9546,0.9546,0.95,0.0046000000000000485
beta,kw,nlminb,250,0.9548,0.9548,0.9548,0.95,0.0048000000000000265
beta,kw,nlminb,500,0.9452,0.9452,0.9452,0.95,-0.0047999999999999154
beta,kw,nlminb,1000,0.9508,0.9508,0.9508,0.95,8.000000000000229e-4
beta,kw,nlminb,5000,0.9518,0.9518,0.9518,0.95,0.0018000000000000238
beta,kw,nr,100,0.958,0.958,0.958,0.95,0.008000000000000007
beta,kw,nr,250,0.9582,0.9582,0.9582,0.95,0.008200000000000096
beta,kw,nr,500,0.9536,0.9536,0.9536,0.95,0.0036000000000000476
beta,kw,nr,1000,0.9516,0.9516,0.9516,0.95,0.0016000000000000458
beta,kw,nr,5000,0.9326,0.9326,0.9326,0.95,-0.01739999999999997
beta,kw,optim,100,0.9556,0.9556,0.9556,0.95,0.005600000000000049
beta,kw,optim,250,0.9514,0.9514,0.9514,0.95,0.0014000000000000679
beta,kw,optim,500,0.9484,0.9484,0.9484,0.95,-0.0015999999999999348
beta,kw,optim,1000,0.9456,0.9456,0.9456,0.95,-0.0043999999999999595
beta,kw,optim,5000,0.945,0.945,0.945,0.95,-0.0050000000000000044
beta,kw,tmb,100,0.953,0.953,0.953,0.95,0.0030000000000000027
beta,kw,tmb,250,0.9546,0.9546,0.9546,0.95,0.0046000000000000485
beta,kw,tmb,500,0.9486,0.9486,0.9486,0.95,-0.0013999999999999568
beta,kw,tmb,1000,0.9566,0.9566,0.9566,0.95,0.00660000000000005
beta,kw,tmb,5000,0.9458,0.9458,0.9458,0.95,-0.0041999999999999815
delta,beta,nlminb,100,0.9552,0.9552,0.9552,0.95,0.0052000000000000934
delta,beta,nlminb,250,0.9464,0.9464,0.9464,0.95,-0.0035999999999999366
delta,beta,nlminb,500,0.9496,0.9496,0.9496,0.95,-3.9999999999995595e-4
delta,beta,nlminb,1000,0.95,0.95,0.95,0.95,0
delta,beta,nlminb,5000,0.9512,0.9512,0.9512,0.95,0.0012000000000000899
delta,beta,nr,100,0.9532,0.9532,0.9532,0.95,0.0032000000000000917
delta,beta,nr,250,0.955,0.955,0.955,0.95,0.0050000000000000044
delta,beta,nr,500,0.949,0.949,0.949,0.95,-0.0010000000000000009
delta,beta,nr,1000,0.9506,0.9506,0.9506,0.95,6.000000000000449e-4
delta,beta,nr,5000,0.9488,0.9488,0.9488,0.95,-0.0011999999999999789
delta,beta,optim,100,0.9554,0.9554,0.9554,0.95,0.005400000000000071
delta,beta,optim,250,0.95,0.95,0.95,0.95,0
delta,beta,optim,500,0.9514,0.9514,0.9514,0.95,0.0014000000000000679
delta,beta,optim,1000,0.9528,0.9528,0.9528,0.95,0.0028000000000000247
delta,beta,optim,5000,0.9504,0.9504,0.9504,0.95,4.0000000000006697e-4
