parameter,family,method,sample_size,mean_coverage,min_coverage,max_coverage,target_coverage,coverage_diff
delta,beta,tmb,100,0.9492,0.9492,0.9492,0.95,-7.999999999999119e-4
delta,beta,tmb,250,0.9458,0.9458,0.9458,0.95,-0.0041999999999999815
delta,beta,tmb,500,0.951,0.951,0.951,0.95,0.0010000000000000009
delta,beta,tmb,1000,0.9492,0.9492,0.9492,0.95,-7.999999999999119e-4
delta,beta,tmb,5000,0.9542,0.9542,0.9542,0.95,0.0042000000000000925
delta,bkw,nlminb,100,1,1,1,0.95,0.050000000000000044
delta,bkw,nlminb,250,1,1,1,0.95,0.050000000000000044
delta,bkw,nlminb,500,1,1,1,0.95,0.050000000000000044
delta,bkw,nlminb,1000,1,1,1,0.95,0.050000000000000044
delta,bkw,nlminb,5000,0.9996445076430857,0.9996445076430857,0.9996445076430857,0.95,0.0496445076430857
delta,bkw,nr,100,0.9975677553856845,0.9975677553856845,0.9975677553856845,0.95,0.047567755385684585
delta,bkw,nr,250,0.9993919124353907,0.9993919124353907,0.9993919124353907,0.95,0.04939191243539076
delta,bkw,nr,500,0.9819630872483222,0.9819630872483222,0.9819630872483222,0.95,0.0319630872483222
delta,bkw,nr,1000,0.9807599807599807,0.9807599807599807,0.9807599807599807,0.95,0.030759980759980765
delta,bkw,nr,5000,0.99633699633699635,0.99633699633699635,0.99633699633699635,0.95,0.046336996336996394
delta,bkw,optim,100,1,1,1,0.95,0.050000000000000044
delta,bkw,optim,250,1,1,1,0.95,0.050000000000000044
delta,bkw,optim,500,1,1,1,0.95,0.050000000000000044
delta,bkw,optim,1000,1,1,1,0.95,0.050000000000000044
delta,bkw,optim,5000,0.999208547685002,0.999208547685002,0.999208547685002,0.95,0.049208547685002046
delta,bkw,tmb,100,0.9972410865874364,0.9972410865874364,0.9972410865874364,0.95,0.04724108658743642
delta,bkw,tmb,250,0.9997940267765191,0.9997940267765191,0.9997940267765191,0.95,0.04979402677651912
delta,bkw,tmb,500,1,1,1,0.95,0.050000000000000044
delta,bkw,tmb,1000,1,1,1,0.95,0.050000000000000044
delta,bkw,tmb,5000,0.9993952832090305,0.9993952832090305,0.9993952832090305,0.95,0.04939528320903053
delta,gkw,nlminb,100,NA,Inf,-Inf,0.95,NA
delta,gkw,nlminb,250,0.9989299090422686,0.9989299090422686,0.9989299090422686,0.95,0.04892990904226868
delta,gkw,nlminb,500,0.9994903160040775,0.9994903160040775,0.9994903160040775,0.95,0.049490316004077495
delta,gkw,nlminb,1000,0.9950811608460404,0.9950811608460404,0.9950811608460404,0.95,0.04508116084604041
delta,gkw,nlminb,5000,0.9850169163847269,0.9850169163847269,0.9850169163847269,0.95,0.035016916384726926
delta,gkw,nr,100,0.9555357936860827,0.9555357936860827,0.9555357936860827,0.95,0.005535793686082702
delta,gkw,nr,250,0.93984375,0.93984375,0.93984375,0.95,-0.010156249999999978
delta,gkw,nr,500,0.9938851277571522,0.9938851277571522,0.9938851277571522,0.95,0.043885127757152254
delta,gkw,nr,1000,0.9959413754227734,0.9959413754227734,0.9959413754227734,0.95,0.045941375422773434
delta,gkw,nr,5000,0.9773169151004537,0.9773169151004537,0.9773169151004537,0.95,0.027316915100453754
delta,gkw,optim,100,0.996,0.996,0.996,0.95,0.04600000000000004
delta,gkw,optim,250,0.996594778660613,0.996594778660613,0.996594778660613,0.95,0.04659477866061301
delta,gkw,optim,500,0.9895104895104895,0.9895104895104895,0.9895104895104895,0.95,0.03951048951048952
delta,gkw,optim,1000,0.967,0.967,0.967,0.95,0.017000000000000015
delta,gkw,optim,5000,0.9126955256456893,0.9126955256456893,0.9126955256456893,0.95,-0.03730447435431061
delta,gkw,tmb,100,0.9920876445526476,0.9920876445526476,0.9920876445526476,0.95,0.042087644552647685
delta,gkw,tmb,250,0.9995794785534062,0.9995794785534062,0.9995794785534062,0.95,0.049579478553406275
delta,gkw,tmb,500,1,1,1,0.95,0.050000000000000044
delta,gkw,tmb,1000,0.9995584988962473,0.9995584988962473,0.9995584988962473,0.95,0.049558498896247305
delta,gkw,tmb,5000,0.9682136045772409,0.9682136045772409,0.9682136045772409,0.95,0.01821360457724097
delta,kkw,nlminb,100,NA,Inf,-Inf,0.95,NA
delta,kkw,nlminb,250,NA,Inf,-Inf,0.95,NA
delta,kkw,nlminb,500,1,1,1,0.95,0.050000000000000044
delta,kkw,nlminb,1000,0.9994428969359331,0.9994428969359331,0.9994428969359331,0.95,0.04944289693593318
delta,kkw,nlminb,5000,0.9973142345568488,0.9973142345568488,0.9973142345568488,0.95,0.0473142345568488
delta,kkw,nr,100,0.9355355997434253,0.9355355997434253,0.9355355997434253,0.95,-0.014464400256574694
delta,kkw,nr,250,0.9747587230883444,0.9747587230883444,0.9747587230883444,0.95,0.02475872308834448
delta,kkw,nr,500,0.9557226399331662,0.9557226399331662,0.9557226399331662,0.95,0.00572263993316624
delta,kkw,nr,1000,0.7023689005871634,0.7023689005871634,0.7023689005871634,0.95,-0.24763109941283656
delta,kkw,nr,5000,0.9096787651230704,0.9096787651230704,0.9096787651230704,0.95,-0.04032123487692951
delta,kkw,optim,100,0.9721352536005009,0.9721352536005009,0.9721352536005009,0.95,0.022135253600500948
delta,kkw,optim,250,0.9973368841544608,0.9973368841544608,0.9973368841544608,0.95,0.0473368841544608
delta,kkw,optim,500,0.9979879275653923,0.9979879275653923,0.9979879275653923,0.95,0.047987927565392385
delta,kkw,optim,1000,0.9983718658417453,0.9983718658417453,0.9983718658417453,0.95,0.048371865841745354
delta,kkw,optim,5000,0.9996491228070176,0.9996491228070176,0.9996491228070176,0.95,0.04964912280701761
delta,kkw,tmb,100,0.9540569020021075,0.9540569020021075,0.9540569020021075,0.95,0.00405690200210751
delta,kkw,tmb,250,0.9928146171217409,0.9928146171217409,0.9928146171217409,0.95,0.04281461712174095
delta,kkw,tmb,500,0.9989814626196781,0.9989814626196781,0.9989814626196781,0.95,0.04898146261967817
delta,kkw,tmb,1000,0.9997976118194697,0.9997976118194697,0.9997976118194697,0.95,0.049797611819469734
delta,kkw,tmb,5000,0.9987849331713244,0.9987849331713244,0.9987849331713244,0.95,0.048784933171324485
delta,mc,nr,100,1,1,1,0.95,0.050000000000000044
delta,mc,nr,250,1,1,1,0.95,0.050000000000000044
delta,mc,nr,500,1,1,1,0.95,0.050000000000000044
delta,mc,nr,1000,1,1,1,0.95,0.050000000000000044
delta,mc,nr,5000,1,1,1,0.95,0.050000000000000044
delta,mc,tmb,100,0.9517490952955368,0.9517490952955368,0.9517490952955368,0.95,0.0017490952955367955
delta,mc,tmb,250,0.942,0.942,0.942,0.95,-0.008000000000000007
delta,mc,tmb,500,0.9376,0.9376,0.9376,0.95,-0.012399999999999967
delta,mc,tmb,1000,0.948,0.948,0.948,0.95,-0.0020000000000000018
delta,mc,tmb,5000,0.9516,0.9516,0.9516,0.95,0.0016000000000000458
gamma,beta,nlminb,100,0.9536,0.9536,0.9536,0.95,0.0036000000000000476
gamma,beta,nlminb,250,0.9518,0.9518,0.9518,0.95,0.0018000000000000238
gamma,beta,nlminb,500,0.9506,0.9506,0.9506,0.95,6.000000000000449e-4
gamma,beta,nlminb,1000,0.9482,0.9482,0.9482,0.95,-0.0017999999999999128
gamma,beta,nlminb,5000,0.9506,0.9506,0.9506,0.95,6.000000000000449e-4
gamma,beta,nr,100,0.9558,0.9558,0.9558,0.95,0.005800000000000027
gamma,beta,nr,250,0.9522,0.9522,0.9522,0.95,0.0022000000000000908
gamma,beta,nr,500,0.9514,0.9514,0.9514,0.95,0.0014000000000000679
gamma,beta,nr,1000,0.9502,0.9502,0.9502,0.95,2.00000000000089e-4
gamma,beta,nr,5000,0.9468,0.9468,0.9468,0.95,-0.0031999999999999806
gamma,beta,optim,100,0.9556,0.9556,0.9556,0.95,0.005600000000000049
gamma,beta,optim,250,0.9498,0.9498,0.9498,0.95,-1.9999999999997797e-4
gamma,beta,optim,500,0.9502,0.9502,0.9502,0.95,2.00000000000089e-4
gamma,beta,optim,1000,0.9488,0.9488,0.9488,0.95,-0.0011999999999999789
gamma,beta,optim,5000,0.9498,0.9498,0.9498,0.95,-1.9999999999997797e-4
gamma,beta,tmb,100,0.9486,0.9486,0.9486,0.95,-0.0013999999999999568
gamma,beta,tmb,250,0.9472,0.9472,0.9472,0.95,-0.0027999999999999137
gamma,beta,tmb,500,0.947,0.947,0.947,0.95,-0.0030000000000000027
gamma,beta,tmb,1000,0.947,0.947,0.947,0.95,-0.0030000000000000027
gamma,beta,tmb,5000,0.9494,0.9494,0.9494,0.95,-5.999999999999339e-4
gamma,bkw,nlminb,100,0.9013698630136986,0.9013698630136986,0.9013698630136986,0.95,-0.048630136986301364
gamma,bkw,nlminb,250,0.9146426092990978,0.9146426092990978,0.9146426092990978,0.95,-0.03535739070090216
gamma,bkw,nlminb,500,0.9357541899441341,0.9357541899441341,0.9357541899441341,0.95,-0.014245810055865893
gamma,bkw,nlminb,1000,0.949947127247092,0.949947127247092,0.949947127247092,0.95,-5.287275290799531e-5
gamma,bkw,nlminb,5000,0.9598293636686811,0.9598293636686811,0.9598293636686811,0.95,0.009829363668681146
gamma,bkw,nr,100,0.9913134120917304,0.9913134120917304,0.9913134120917304,0.95,0.04131341209173045
gamma,bkw,nr,250,0.993006993006993,0.993006993006993,0.993006993006993,0.95,0.043006993006993066
gamma,bkw,nr,500,0.989513422818792,0.989513422818792,0.989513422818792,0.95,0.039513422818792
gamma,bkw,nr,1000,0.9966329966329966,0.9966329966329966,0.9966329966329966,0.95,0.04663299663299669
gamma,bkw,nr,5000,0.9945054945054945,0.9945054945054945,0.9945054945054945,0.95,0.04450549450549457
gamma,bkw,optim,100,0.913287955016277,0.913287955016277,0.913287955016277,0.95,-0.036712044983722936
gamma,bkw,optim,250,0.9274580335731415,0.9274580335731415,0.9274580335731415,0.95,-0.022541966426858462
gamma,bkw,optim,500,0.9523255813953488,0.9523255813953488,0.9523255813953488,0.95,0.0023255813953488857
gamma,bkw,optim,1000,0.9604147031102733,0.9604147031102733,0.9604147031102733,0.95,0.010414703110273371
gamma,bkw,optim,5000,0.9683419074000792,0.9683419074000792,0.9683419074000792,0.95,0.018341907400079238
gamma,bkw,tmb,100,0.9363327674023769,0.9363327674023769,0.9363327674023769,0.95,-0.013667232597623036
gamma,bkw,tmb,250,0.9410916580844491,0.9410916580844491,0.9410916580844491,0.95,-0.0089083419155509
gamma,bkw,tmb,500,0.9468756360675759,0.9468756360675759,0.9468756360675759,0.95,-0.0031243639324241013
gamma,bkw,tmb,1000,0.9456236102688498,0.9456236102688498,0.9456236102688498,0.95,-0.0043763897311501765
gamma,bkw,tmb,5000,0.9629107034872002,0.9629107034872002,0.9629107034872002,0.95,0.012910703487200248
gamma,gkw,nlminb,100,NA,Inf,-Inf,0.95,NA
gamma,gkw,nlminb,250,0.8876404494382022,0.8876404494382022,0.8876404494382022,0.95,-0.06235955056179776
gamma,gkw,nlminb,500,0.8730886850152906,0.8730886850152906,0.8730886850152906,0.95,-0.07691131498470938
gamma,gkw,nlminb,1000,0.8480078701426463,0.8480078701426463,0.8480078701426463,0.95,-0.10199212985735362
gamma,gkw,nlminb,5000,0.8912518124697921,0.8912518124697921,0.8912518124697921,0.95,-0.05874818753020783
gamma,gkw,nr,100,0.9915518008003558,0.9915518008003558,0.9915518008003558,0.95,0.04155180080035581
gamma,gkw,nr,250,0.9984375,0.9984375,0.9984375,0.95,0.04843750000000002
gamma,gkw,nr,500,0.9971609521729635,0.9971609521729635,0.9971609521729635,0.95,0.047160952172963566
gamma,gkw,nr,1000,0.9977452085682075,0.9977452085682075,0.9977452085682075,0.95,0.04774520856820752
gamma,gkw,nr,5000,0.9880103694102398,0.9880103694102398,0.9880103694102398,0.95,0.03801036941023983
gamma,gkw,optim,100,0.7248571428571429,0.7248571428571429,0.7248571428571429,0.95,-0.2251428571428571
gamma,gkw,optim,250,0.7613507377979569,0.7613507377979569,0.7613507377979569,0.95,-0.18864926220204303
gamma,gkw,optim,500,0.7057557826788596,0.7057557826788596,0.7057557826788596,0.95,-0.24424421732114032
gamma,gkw,optim,1000,0.922,0.922,0.922,0.95,-0.027999999999999914
gamma,gkw,optim,5000,0.8806838850491088,0.8806838850491088,0.8806838850491088,0.95,-0.06931611495089118
gamma,gkw,tmb,100,0.9344694664232096,0.9344694664232096,0.9344694664232096,0.95,-0.01553053357679035
gamma,gkw,tmb,250,0.9352396972245585,0.9352396972245585,0.9352396972245585,0.95,-0.014760302775441492
gamma,gkw,tmb,500,0.9070978945083569,0.9070978945083569,0.9070978945083569,0.95,-0.04290210549164308
gamma,gkw,tmb,1000,0.8766004415011037,0.8766004415011037,0.8766004415011037,0.95,-0.07339955849889623
gamma,gkw,tmb,5000,0.8431871159143887,0.8431871159143887,0.8431871159143887,0.95,-0.10681288408561129
gamma,mc,nr,100,1,1,1,0.95,0.050000000000000044
gamma,mc,nr,250,1,1,1,0.95,0.050000000000000044
gamma,mc,nr,500,1,1,1,0.95,0.050000000000000044
gamma,mc,nr,1000,1,1,1,0.95,0.050000000000000044
gamma,mc,nr,5000,1,1,1,0.95,0.050000000000000044
gamma,mc,tmb,100,0.8703256936067552,0.8703256936067552,0.8703256936067552,0.95,-0.0796743063932448
gamma,mc,tmb,250,0.8914,0.8914,0.8914,0.95,-0.058599999999999985
gamma,mc,tmb,500,0.9018,0.9018,0.9018,0.95,-0.04819999999999991
gamma,mc,tmb,1000,0.9186,0.9186,0.9186,0.95,-0.031399999999999983
gamma,mc,tmb,5000,0.9472,0.9472,0.9472,0.95,-0.0027999999999999137
lambda,ekw,nlminb,100,0.8299568965517241,0.8299568965517241,0.8299568965517241,0.95,-0.12004310344827585
lambda,ekw,nlminb,250,0.8773831025486655,0.8773831025486655,0.8773831025486655,0.95,-0.07261689745133448
lambda,ekw,nlminb,500,0.906,0.906,0.906,0.95,-0.04399999999999993
lambda,ekw,nlminb,1000,0.9226,0.9226,0.9226,0.95,-0.02739999999999998
lambda,ekw,nlminb,5000,0.9472,0.9472,0.9472,0.95,-0.0027999999999999137
lambda,ekw,nr,100,0.9365781710914454,0.9365781710914454,0.9365781710914454,0.95,-0.01342182890855459
lambda,ekw,nr,250,0.8950040617384241,0.8950040617384241,0.8950040617384241,0.95,-0.054995938261575894
lambda,ekw,nr,500,0.9171057965139846,0.9171057965139846,0.9171057965139846,0.95,-0.03289420348601535
lambda,ekw,nr,1000,0.9621394230769231,0.9621394230769231,0.9621394230769231,0.95,0.012139423076923173
lambda,ekw,nr,5000,0.9621999999999999,0.9621999999999999,0.9621999999999999,0.95,0.012199999999999989
lambda,ekw,optim,100,0.8289054197662061,0.8289054197662061,0.8289054197662061,0.95,-0.12109458023379382
lambda,ekw,optim,250,0.8774038461538461,0.8774038461538461,0.8774038461538461,0.95,-0.07259615384615381
lambda,ekw,optim,500,0.9018,0.9018,0.9018,0.95,-0.04819999999999991
lambda,ekw,optim,1000,0.9158,0.9158,0.9158,0.95,-0.03420000000000001
lambda,ekw,optim,5000,0.949,0.949,0.949,0.95,-0.0010000000000000009
lambda,ekw,tmb,100,0.8752039151712887,0.8752039151712887,0.8752039151712887,0.95,-0.07479608482871125
lambda,ekw,tmb,250,0.8950431466987758,0.8950431466987758,0.8950431466987758,0.95,-0.05495685330122413
lambda,ekw,tmb,500,0.9154,0.9154,0.9154,0.95,-0.034599999999999964
lambda,ekw,tmb,1000,0.9298,0.9298,0.9298,0.95,-0.020199999999999996
lambda,ekw,tmb,5000,0.9484,0.9484,0.9484,0.95,-0.0015999999999999348
lambda,gkw,nlminb,100,NA,Inf,-Inf,0.95,NA
lambda,gkw,nlminb,250,0.9935794542536116,0.9935794542536116,0.9935794542536116,0.95,0.04357945425361165
lambda,gkw,nlminb,500,0.990316004077472,0.990316004077472,0.990316004077472,0.95,0.040316004077472045
lambda,gkw,nlminb,1000,0.985243482538121,0.985243482538121,0.985243482538121,0.95,0.03524348253812104
lambda,gkw,nlminb,5000,0.9569840502658289,0.9569840502658289,0.9569840502658289,0.95,0.006984050265828934
lambda,gkw,nr,100,0.9915518008003558,0.9915518008003558,0.9915518008003558,0.95,0.04155180080035581
lambda,gkw,nr,250,0.89609375,0.89609375,0.89609375,0.95,-0.05390624999999993
lambda,gkw,nr,500,0.9954138458178642,0.9954138458178642,0.9954138458178642,0.95,0.04541384581786423
lambda,gkw,nr,1000,0.9945885005636979,0.9945885005636979,0.9945885005636979,0.95,0.0445885005636979
lambda,gkw,nr,5000,0.9449125081011017,0.9449125081011017,0.9449125081011017,0.95,-0.005087491898898233
lambda,gkw,optim,100,0.9277142857142857,0.9277142857142857,0.9277142857142857,0.95,-0.022285714285714242
lambda,gkw,optim,250,0.8847900113507378,0.8847900113507378,0.8847900113507378,0.95,-0.0652099886492622
lambda,gkw,optim,500,0.9741796664873588,0.9741796664873588,0.9741796664873588,0.95,0.02417966648735881
lambda,gkw,optim,1000,0.8153333333333334,0.8153333333333334,0.8153333333333334,0.95,-0.1346666666666666
lambda,gkw,optim,5000,0.8915969443433976,0.8915969443433976,0.8915969443433976,0.95,-0.05840305565660231
lambda,gkw,tmb,100,0.9776831000202881,0.9776831000202881,0.9776831000202881,0.95,0.027683100020288176
lambda,gkw,tmb,250,0.9373423044575273,0.9373423044575273,0.9373423044575273,0.95,-0.012657695542472647
lambda,gkw,tmb,500,0.9368352507054483,0.9368352507054483,0.9368352507054483,0.95,-0.013164749294551692
lambda,gkw,tmb,1000,0.9315673289183223,0.9315673289183223,0.9315673289183223,0.95,-0.018432671081677676
lambda,gkw,tmb,5000,0.9387582114854842,0.9387582114854842,0.9387582114854842,0.95,-0.011241788514515738
lambda,kkw,nlminb,100,NA,Inf,-Inf,0.95,NA
lambda,kkw,nlminb,250,NA,Inf,-Inf,0.95,NA
lambda,kkw,nlminb,500,0.9962358845671268,0.9962358845671268,0.9962358845671268,0.95,0.046235884567126795
lambda,kkw,nlminb,1000,0.9977715877437325,0.9977715877437325,0.9977715877437325,0.95,0.04777158774373258
lambda,kkw,nlminb,5000,1,1,1,0.95,0.050000000000000044
lambda,kkw,nr,100,0.9605516356638871,0.9605516356638871,0.9605516356638871,0.95,0.010551635663887171
lambda,kkw,nr,250,0.9943083395199208,0.9943083395199208,0.9943083395199208,0.95,0.04430833951992086
lambda,kkw,nr,500,0.9771651350598719,0.9771651350598719,0.9771651350598719,0.95,0.027165135059871948
lambda,kkw,nr,1000,0.9937234257946953,0.9937234257946953,0.9937234257946953,0.95,0.04372342579469535
lambda,kkw,nr,5000,0.9716312056737588,0.9716312056737588,0.9716312056737588,0.95,0.02163120567375887
lambda,kkw,optim,100,0.7310582341891045,0.7310582341891045,0.7310582341891045,0.95,-0.21894176581089542
lambda,kkw,optim,250,0.835219707057257,0.835219707057257,0.835219707057257,0.95,-0.11478029294274295
lambda,kkw,optim,500,0.9654594232059021,0.9654594232059021,0.9654594232059021,0.95,0.0154594232059021
lambda,kkw,optim,1000,0.9661348095083034,0.9661348095083034,0.9661348095083034,0.95,0.016134809508303483
lambda,kkw,optim,5000,0.9996491228070176,0.9996491228070176,0.9996491228070176,0.95,0.04964912280701761
lambda,kkw,tmb,100,0.9205479452054794,0.9205479452054794,0.9205479452054794,0.95,-0.02945205479452051
lambda,kkw,tmb,250,0.9152124820365428,0.9152124820365428,0.9152124820365428,0.95,-0.03478751796345714
lambda,kkw,tmb,500,0.9388877571806885,0.9388877571806885,0.9388877571806885,0.95,-0.011112242819311446
lambda,kkw,tmb,1000,0.9479862376037239,0.9479862376037239,0.9479862376037239,0.95,-0.002013762396276042
lambda,kkw,tmb,5000,0.956865127582017,0.956865127582017,0.956865127582017,0.95,0.006865127582017072
lambda,mc,nr,100,1,1,1,0.95,0.050000000000000044
lambda,mc,nr,250,1,1,1,0.95,0.050000000000000044
lambda,mc,nr,500,1,1,1,0.95,0.050000000000000044
lambda,mc,nr,1000,1,1,1,0.95,0.050000000000000044
lambda,mc,nr,5000,1,1,1,0.95,0.050000000000000044
lambda,mc,tmb,100,0.9772818657016485,0.9772818657016485,0.9772818657016485,0.95,0.02728186570164859
lambda,mc,tmb,250,0.9546,0.9546,0.9546,0.95,0.0046000000000000485
lambda,mc,tmb,500,0.96,0.96,0.96,0.95,0.010000000000000009
lambda,mc,tmb,1000,0.9682,0.9682,0.9682,0.95,0.018199999999999994
lambda,mc,tmb,5000,0.9608,0.9608,0.9608,0.95,0.010800000000000032
