method,parameter,sample_size,mean_abs_bias,mean_abs_rel_bias,mean_abs_bias_z,mean_coverage,mean_convergence,mean_time
nlminb,alpha,100,0.17843104012589772,0.08921552006294886,0.11077799517248801,0.9306445452909553,0.5676285714285715,0.08287280227828743
nlminb,alpha,250,0.12749064072834174,0.06374532036417087,0.08409798448741716,0.9498957103173618,0.5999714285714286,0.0876444906384177
nlminb,alpha,500,0.10427667318330976,0.05213833659165488,0.07664243936642133,0.9715579555200635,0.612,0.0966269922354573
nlminb,alpha,1000,0.09636418758851786,0.04818209379425893,0.0689337367334567,0.9696661542905141,0.619,0.11711059909662766
nlminb,alpha,5000,0.06856194965025905,0.034280974825129526,0.05168557369779896,0.9700744251994795,0.6318857142857143,0.2615312234441917
nr,alpha,100,0.21849259188243225,0.10924629594121613,0.04117800686932307,0.9772675507521016,0.7803714285714286,0.09926566112076317
nr,alpha,250,0.433759721878166,0.216879860939083,0.026497562048298114,0.9685511963896544,0.8884,0.11293873277257566
nr,alpha,500,0.2782927988413483,0.13914639942067414,0.03807482111917481,0.9684798776381753,0.9392,0.12116907807236403
nr,alpha,1000,0.2071261384432332,0.1035630692216166,0.03775719721488129,0.9765672932417184,0.9578285714285715,0.13060622280835055
nr,alpha,5000,0.24385173050424838,0.12192586525212419,0.04465339129709339,0.9534907490161905,0.8901714285714286,0.3248663572417184
optim,alpha,100,0.5255646022953846,0.2627823011476923,0.14760767181059886,0.9518570943487638,0.7079428571428571,0.08648177561463427
optim,alpha,250,0.34694849745231754,0.17347424872615877,0.10999048760632583,0.9606034769836778,0.7101714285714286,0.09208196604885135
optim,alpha,500,0.13286178611866833,0.06643089305933417,0.07827184951430653,0.9549039659568597,0.7182857142857143,0.10261770064197837
optim,alpha,1000,0.18495121751473814,0.09247560875736907,0.10752147505535782,0.9677134468658954,0.6929714285714286,0.12072970918536743
optim,alpha,5000,0.14778116790622775,0.07389058395311388,0.09003643707199112,0.9694529794283337,0.6607428571428571,0.22591213483584072
tmb,alpha,100,0.1373841545457517,0.06869207727287585,0.0981538954437296,0.957513956348146,0.9789714285714286,0.1062567215714452
tmb,alpha,250,0.12298225799126175,0.061491128995630875,0.08782845860643036,0.9700185545965045,0.9847142857142858,0.11706365382136527
tmb,alpha,500,0.07371442037350628,0.03685721018675314,0.06484024309108918,0.9725075295030462,0.9836857142857143,0.13470858703419009
tmb,alpha,1000,0.037547995498087516,0.018773997749043758,0.03693485212562268,0.970129022993299,0.9833714285714286,0.170093083287922
tmb,alpha,5000,0.015617570440845307,0.007808785220422654,0.02167457921782808,0.9684390728198375,0.9890857142857142,0.3748488687856838
nlminb,beta,100,1.511945785801194,0.5039819286003979,0.1683482584302009,0.9429355590795601,0.5676285714285715,0.08287280227828743
nlminb,beta,250,0.6747045409077669,0.22490151363592228,0.12270723987142018,0.9404348938973595,0.5999714285714286,0.0876444906384177
nlminb,beta,500,0.5273302893778589,0.17577676312595295,0.09831214900829148,0.9427517666576972,0.612,0.0966269922354573
nlminb,beta,1000,0.3943811016167989,0.13146036720559962,0.07759683610631546,0.9436529538715364,0.619,0.11711059909662766
nlminb,beta,5000,0.46175209075641976,0.15391736358547325,0.07902548573868907,0.9388122010956544,0.6318857142857143,0.2615312234441917
nr,beta,100,2.9890271719226633,0.9963423906408878,0.06958437082422751,0.9818949490879852,0.7803714285714286,0.09926566112076317
nr,beta,250,0.6792166307359769,0.226405543578659,0.04230472472596131,0.9751253662206764,0.8884,0.11293873277257566
nr,beta,500,0.8153977018549067,0.2717992339516356,0.051230807738780776,0.970207033163683,0.9392,0.12116907807236403
nr,beta,1000,0.4283863706653729,0.14279545688845763,0.04179825335307468,0.9778694725729457,0.9578285714285715,0.13060622280835055
nr,beta,5000,0.774885103483512,0.25829503449450403,0.02973092458559887,0.961399099434466,0.8901714285714286,0.3248663572417184
optim,beta,100,2.807193592049406,0.9357311973498021,0.2050301893617057,0.9735928170769986,0.7079428571428571,0.08648177561463427
optim,beta,250,1.580989604672023,0.5269965348906744,0.15552967615955435,0.973544734235662,0.7101714285714286,0.09208196604885135
optim,beta,500,0.49247374260346033,0.16415791420115344,0.09395694799447019,0.9522971067760798,0.7182857142857143,0.10261770064197837
optim,beta,1000,1.1010467957814296,0.36701559859380983,0.11097480411233175,0.9677118637568334,0.6929714285714286,0.12072970918536743
optim,beta,5000,0.9240590358250244,0.30801967860834145,0.131472386344409,0.9676575701531019,0.6607428571428571,0.22591213483584072
tmb,beta,100,0.7156428787968985,0.2385476262656328,0.18146334650656196,0.977038365906721,0.9789714285714286,0.1062567215714452
tmb,beta,250,0.5754212647250284,0.19180708824167614,0.1459143406773066,0.9790248407945669,0.9847142857142858,0.11706365382136527
tmb,beta,500,0.42287017765682855,0.1409567258856095,0.11515017090337061,0.9796770340191485,0.9836857142857143,0.13470858703419009
tmb,beta,1000,0.33678543777362224,0.1122618125912074,0.08790711272115623,0.98196,0.9833714285714286,0.170093083287922
tmb,beta,5000,0.2866219205426089,0.09554064018086962,0.06597941565248819,0.9725315485986822,0.9890857142857142,0.3748488687856838
nlminb,delta,100,12.025011837636553,5.236132468211039,0.11564978809192726,0.9776,0.5676285714285715,0.08287280227828743
nlminb,delta,250,3.5105639606261105,2.0915327868054865,0.09115859320003962,0.9817766363474228,0.5999714285714286,0.0876444906384177
nlminb,delta,500,2.2396678326309836,1.4077969363630705,0.08976737758953388,0.9872725790010194,0.612,0.0966269922354573
nlminb,delta,1000,1.7700857182492091,1.0410261298841648,0.10945725295328974,0.9861310144454933,0.619,0.11711059909662766
nlminb,delta,5000,1.0706301536632132,0.5453410057009577,0.12915129070034168,0.9832939146461653,0.6318857142857143,0.2615312234441917
nr,delta,100,1.052020340084388,0.36478572719670427,0.04660985830775173,0.9683678297630385,0.7803714285714286,0.09926566112076317
nr,delta,250,1.1541329265296099,0.40088027772017587,0.03511509488712656,0.973798877104747,0.8884,0.11293873277257566
nr,delta,500,1.2476456596870313,0.4304721704091556,0.025529127718715048,0.9761141709877281,0.9392,0.12116907807236403
nr,delta,1000,1.344598129960271,0.4728656763318046,0.018484171568381846,0.9259340513539835,0.9578285714285715,0.13060622280835055
nr,delta,5000,1.044789604450059,0.350415309907424,0.01234837749869358,0.9664265353121041,0.8901714285714286,0.3248663572417184
optim,delta,100,1.4858435625043271,0.6721807309666966,0.10638719689108893,0.9808838134001252,0.7079428571428571,0.08648177561463427
optim,delta,250,0.40485042412435945,0.2220143556320825,0.04708648566475569,0.9859829157037684,0.7101714285714286,0.09208196604885135
optim,delta,500,1.1338483920632143,0.4086143491189932,0.07174385973396097,0.9847246042689705,0.7182857142857143,0.10261770064197837
optim,delta,1000,0.919515588695299,0.32865378978943655,0.12889123541500266,0.9795429664604363,0.6929714285714286,0.12072970918536743
optim,delta,5000,1.0684086056556574,0.3861568174678204,0.20966555100353088,0.9654882990344272,0.6607428571428571,0.22591213483584072
tmb,delta,100,0.49031726353419,0.1938200168377115,0.17572131271347582,0.9688669456875456,0.9789714285714286,0.1062567215714452
tmb,delta,250,0.38154247501311345,0.15458102638569715,0.13803660501743167,0.9759976244903332,0.9847142857142858,0.11706365382136527
tmb,delta,500,0.3274804955358052,0.13397763569655424,0.1073858755795869,0.9775162925239356,0.9836857142857143,0.13470858703419009
tmb,delta,1000,0.29277314356714573,0.12082571768002105,0.09092896802780188,0.9793112221431434,0.9833714285714286,0.170093083287922
tmb,delta,5000,0.23489072750098194,0.10027514663807487,0.06780101100469538,0.9744387641915192,0.9890857142857142,0.3748488687856838
nlminb,gamma,100,1.4104986669384756,1.736486295201723,0.15069428122721779,0.9274849315068493,0.5676285714285715,0.08287280227828743
nlminb,gamma,250,0.42091555417243626,0.5165468711081046,0.1294726499576365,0.9180276862457667,0.5999714285714286,0.0876444906384177
nlminb,gamma,500,0.2069046211970527,0.25386917659220337,0.2086848342889543,0.9198142916531415,0.612,0.0966269922354573
nlminb,gamma,1000,0.11667427604764384,0.14308898916423282,0.23362583872640239,0.9153849991299128,0.619,0.11711059909662766
nlminb,gamma,5000,0.04640399147656341,0.05742620223031441,0.09180848786910493,0.9338937253794911,0.6318857142857143,0.2615312234441917
nr,gamma,100,0.1550229728275224,0.17332619507908753,0.060823517294661254,0.9846663032230215,0.7803714285714286,0.09926566112076317
nr,gamma,250,0.12468585781690311,0.14731065290761597,0.0386658257187652,0.9859111232517482,0.8884,0.11293873277257566
nr,gamma,500,0.11457842725622694,0.13908908693354352,0.022418655235486838,0.9845185937479388,0.9392,0.12116907807236403
nr,gamma,1000,0.09276490073713034,0.11368650113322315,0.015192517759496142,0.9861445513003011,0.9578285714285715,0.13060622280835055
nr,gamma,5000,0.10504332839530547,0.13014002662044644,0.030359739806180893,0.9823289659789336,0.8901714285714286,0.3248663572417184
optim,gamma,100,0.9647379685658347,1.177841179559703,0.17123996341068365,0.8645816992911399,0.7079428571428571,0.08648177561463427
optim,gamma,250,0.4168814146329433,0.5107756157791132,0.16010555733998275,0.8795362571236994,0.7101714285714286,0.09208196604885135
optim,gamma,500,0.1507835468757757,0.18497902862595014,0.19701692488449607,0.8694271213580695,0.7182857142857143,0.10261770064197837
optim,gamma,1000,0.15631252965776188,0.19381997434953221,0.10240064346002627,0.9437382343700911,0.6929714285714286,0.12072970918536743
optim,gamma,5000,0.01244604474495059,0.01508891248527903,0.039921793595294505,0.932941930816396,0.6607428571428571,0.22591213483584072
tmb,gamma,100,0.41198530927457966,0.4627614195868266,0.2524256727986454,0.9224319818580854,0.9789714285714286,0.1062567215714452
tmb,gamma,250,0.25263036130233296,0.2804250685382992,0.2289905164739975,0.9287328388272519,0.9847142857142858,0.11706365382136527
tmb,gamma,500,0.14166478380137792,0.1544870419178137,0.19445352990643927,0.9256933826439832,0.9836857142857143,0.13470858703419009
tmb,gamma,1000,0.062818415372108,0.0670539786452359,0.14859527615787865,0.9219560129424884,0.9833714285714286,0.170093083287922
tmb,gamma,5000,0.0327972485748155,0.039177534367499656,0.11581653534926249,0.9256744548503972,0.9890857142857142,0.3748488687856838
nlminb,lambda,100,12.575854462019606,8.383902974679737,0.13161603484700246,0.8299568965517241,0.5676285714285715,0.08287280227828743
nlminb,lambda,250,4.343188329656256,2.895458886437504,0.18679991777651347,0.9354812784011386,0.5999714285714286,0.0876444906384177
nlminb,lambda,500,1.9691162094514625,1.3127441396343085,0.23812330784110552,0.964183962881533,0.612,0.0966269922354573
nlminb,lambda,1000,1.520773298808363,1.013848865872242,0.2337948481602394,0.9685383567606178,0.619,0.11711059909662766
nlminb,lambda,5000,0.6595871768591685,0.43972478457277897,0.1889726751430207,0.9680613500886096,0.6318857142857143,0.2615312234441917
nr,lambda,100,0.727421984912684,0.48494798994178934,0.007916161099474612,0.9721704018889221,0.7803714285714286,0.09926566112076317
nr,lambda,250,0.8377569184017268,0.5585046122678179,0.02581529652317779,0.9463515378145863,0.8884,0.11293873277257566
nr,lambda,500,0.511482391123157,0.3409882607487713,0.015377885810541305,0.9724211943479302,0.9392,0.12116907807236403
nr,lambda,1000,0.5680681288236841,0.37871208588245603,0.014977811277562047,0.9876128373588291,0.9578285714285715,0.13060622280835055
nr,lambda,5000,0.38678569985981637,0.2578571332398776,0.004644106705532409,0.9696859284437152,0.8901714285714286,0.3248663572417184
optim,lambda,100,6.371867377169843,4.247911584779896,0.2335241861242847,0.8292259798898655,0.7079428571428571,0.08648177561463427
optim,lambda,250,4.167914194452939,2.778609462968626,0.28741907740969985,0.8658045215206136,0.7101714285714286,0.09208196604885135
optim,lambda,500,4.2719578206762,2.8479718804508,0.33427271823928095,0.9471463632310869,0.7182857142857143,0.10261770064197837
optim,lambda,1000,0.8456648347417596,0.5637765564945063,0.2191129925805521,0.8990893809472122,0.6929714285714286,0.12072970918536743
optim,lambda,5000,0.5149383565899358,0.34329223772662387,0.2159347201451601,0.9467486890501384,0.6607428571428571,0.22591213483584072
tmb,lambda,100,0.668847115358145,0.44589807690543004,0.21257253393244693,0.9376792065246762,0.9789714285714286,0.1062567215714452
tmb,lambda,250,0.5040049239730671,0.3360032826487114,0.1924982769585014,0.9255494832982115,0.9847142857142858,0.11706365382136527
tmb,lambda,500,0.5472414488704707,0.3648276325803138,0.1877639360413391,0.9377807519715342,0.9836857142857143,0.13470858703419009
tmb,lambda,1000,0.5857365642660836,0.39049104284405567,0.19807882301084476,0.9443883916305116,0.9833714285714286,0.170093083287922
tmb,lambda,5000,0.5524653816636044,0.3683102544424029,0.21763028702114073,0.9512058347668753,0.9890857142857142,0.3748488687856838
